country,year,suicide rate
Albania,1987,2.694124594
Albania,1988,2.279057989
Albania,1989,2.425885627
Albania,1992,1.665190434
Albania,1993,2.600363338
Albania,1994,1.754816973
Albania,1995,3.030929255
Albania,1996,3.027004966
Albania,1997,5.70987136
Albania,1998,5.111693829
Albania,1999,4.587912995
Albania,2000,1.93112327
Albania,2001,4.250988355
Albania,2002,4.718254572
Albania,2003,4.36016511
Albania,2004,5.078276767
Albania,2005,0
Albania,2006,0
Albania,2007,4.475978434
Albania,2008,5.803285312
Albania,2009,0
Albania,2010,3.508739869
Antigua and Barbuda,1985,0
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1989,0
Antigua and Barbuda,1990,1.685374322
Antigua and Barbuda,1991,0
Antigua and Barbuda,1992,0
Antigua and Barbuda,1993,1.579404564
Antigua and Barbuda,1994,0
Antigua and Barbuda,1995,0
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,2.65512572
Antigua and Barbuda,2001,2.614481614
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,1.271326502
Antigua and Barbuda,2004,2.508717794
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1.202920691
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1.088269543
Argentina,1985,7.338284584
Argentina,1986,8.383374198
Argentina,1987,8.282788756
Argentina,1988,8.315670482
Argentina,1989,7.828722737
Argentina,1990,7.356201725
Argentina,1991,6.58609864
Argentina,1992,7.268999581
Argentina,1993,7.316873103
Argentina,1994,7.249799425
Argentina,1995,7.031334741
Argentina,1996,7.013690699
Argentina,1997,6.754545656
Argentina,1998,7.164824139
Argentina,1999,7.303722921
Argentina,2000,8.25950864
Argentina,2001,9.208800014
Argentina,2002,9.189854993
Argentina,2003,9.45497842
Argentina,2004,8.875820839
Argentina,2005,8.601819766
Argentina,2006,8.652829601
Argentina,2007,8.112240363
Argentina,2008,8.327543889
Argentina,2009,7.761450892
Argentina,2010,7.831615425
Argentina,2011,7.65998525
Argentina,2012,8.449140932
Argentina,2013,7.686740244
Argentina,2014,8.226281557
Argentina,2015,7.740627468
Armenia,1990,3.116935349
Armenia,1991,2.476166894
Armenia,1992,2.508538097
Armenia,1993,3.1485772
Armenia,1994,3.291697281
Armenia,1995,3.775557621
Armenia,1996,2.495482316
Armenia,1997,2.183344203
Armenia,1998,1.854974705
Armenia,1999,1.871142514
Armenia,2000,1.691390545
Armenia,2001,1.661812328
Armenia,2002,2.454521693
Armenia,2003,1.95082209
Armenia,2006,2.821592854
Armenia,2007,2.595681006
Armenia,2008,2.068699881
Armenia,2009,1.970483642
Armenia,2010,2.727722819
Armenia,2011,2.509019363
Armenia,2012,2.80709235
Armenia,2013,2.383778353
Armenia,2014,2.069190151
Armenia,2015,2.64726768
Armenia,2016,2.791628282
Aruba,1995,10.87237194
Aruba,1999,10.9844509
Aruba,2000,11.92065611
Aruba,2001,4.648730316
Aruba,2002,10.19437271
