Suicides/100k pop,Unemployment,Average annual working hours per worker,Gini index,Health expenditure (% of GDP),Life satisfaction,% population age 25+ with at least completed post-secondary education,Single (never married),Married,Widowed and not remarried,Married but separated,Generation
54.26,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,5.37366814,67.82442843,22.27946285,0.049551133,Silent
38.22,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,25.00533697,58.93382855,0.543268465,0.016372992,Generation X
36.9,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,7.584178723,74.07619086,4.454414081,0.057786114,Boomers
22.77,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,66.59737095,28.22710552,0.035486111,0.000558836,Millenials
16.11,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,96.14879139,1.488239112,0.001626168,0,Millenials
15.91,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,17.59965218,61.95642582,2.155971723,0.021770986,Generation X
15.73,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,5.160092721,64.62433015,15.63393384,0.05510176,Boomers
11.29,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,5.709480184,30.27113205,59.20143453,0.02999845,Silent
8.48,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,54.46662785,39.07716356,0.17780014,0.001978698,Millenials
6.24,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,92.77145128,5.081669139,0.007004998,0,Millenials
14.9,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,78.99094248,6.275948334,0.064464237,1.025735425,Millenials
14.47,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,29.16853592,33.76964745,0.200570298,3.924931466,Generation X
10.07,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,12.97730908,51.07141354,0.923577937,5.760064395,Generation X
9.53,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,9.379580279,57.34595385,5.706914759,5.939432021,Silent
8.73,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,7.697559113,52.12066163,23.40451382,4.038832031,Silent
8.1,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,62.13454994,11.7534171,0.247465921,3.196968303,Millenials
5.11,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,21.72175805,38.50580856,0.8283535,7.166908618,Generation X
2.99,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,11.24957139,24.71173157,53.03110458,3.470977223,Silent
2.35,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,11.89130289,45.72940756,18.26503595,7.596371134,Silent
2.33,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,12.95385669,48.57239264,3.399351318,8.751321685,Generation X
30.04,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,25.69246521,66.01429682,0.662742389,4.205671736,Generation X
27.03,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,70.39070816,28.13458929,0.113209489,0.79409144,Millenials
26.68,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,98.78070318,1.094126422,0.033264461,0.073901973,Millenials
20.55,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,14.85178038,71.65430354,4.959482128,5.105422656,Boomers
11.82,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,18.84305423,56.89211076,22.01299588,1.509356645,Silent
6.99,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,62.30518712,35.05085676,0.215563811,1.500018762,Millenials
