suicides/100k pop,"Unemployment, total (% of total labor force) ",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated,Total surveyed for marital
6.71,,,,,,,,,,,
5.19,,,,,,,,,,,
4.83,,,,,,,,,,,
4.59,,,,,,,,,,,
3.28,,,,,,,,,,,
2.81,,,,,,,,,,,
2.15,,,,,,,,,,,
1.56,,,,,,,,,,,
0.73,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
5.49,,,,,,,,,,,
5.33,,,,,,,,,,,
4.48,,,,,,,,,,,
4.46,,,,,,,,,,,
2.85,,,,,,,,,,,
2.71,,,,,,,,,,,
2.03,,,,,,,,,,,
1.91,,,,,,,,,,,
1.79,,,,,,,,,,,
1.41,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
8.89,,,,,,,,,,,
6.35,,,,,,,,,,,
4.71,,,,,,,,,,,
4.22,,,,,,,,,,,
3.71,,,,,,,,,,,
2.43,,,,,,,,,,,
1.67,,,,,,,,,,,
0.75,,,,,,,,,,,
0.67,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
3.49,16.33,,,,,,,,,,
3.41,16.33,,,,,,,,,,
3.13,16.33,,,,,,,,,,
2.85,16.33,,,,,,,,,,
2.39,16.33,,,,,,,,,,
1.5,16.33,,,,,,,,,,
0.62,16.33,,,,,,,,,,
0.61,16.33,,,,,,,,,,
0,16.33,,,,,,,,,,
0,16.33,,,,,,,,,,
0,16.33,,,,,,,,,,
0,16.33,,,,,,,,,,
7.4,16.52,,,,,,,,,,
4.24,16.52,,,,,,,,,,
4.13,16.52,,,,,,,,,,
3.91,16.52,,,,,,,,,,
3.51,16.52,,,,,,,,,,
2.85,16.52,,,,,,,,,,
